Campaign Name,Ad Set Name,Ad Name,Objective,Spend,Impressions,Reach,Frequency,CPM,Clicks,Link Clicks,CPC,CTR,Landing Page Views,Cost per LPV,Video Plays,3-Sec Views,ThruPlays,50% Video Views,95% Video Views,Engagements,Add to Carts,Purchases,Revenue,ROAS,New Customers
BOF - Conversion - Purchase,All Site Visitors 14d,Single Image - Best Seller,OUTCOME_SALES,645.30,10200,7400,1.38,63.26,480,460,1.40,0.0471,400,1.61,,,,,,,102,22,1628,2.52,8
BOF - Shopping - Advantage+,ASC - Broad Prospecting,Advantage Shopping Campaign,OUTCOME_SALES,3480.60,48600,32800,1.48,71.62,2840,2760,1.23,0.0585,2440,1.43,,,,,,,684,196,15288,4.39,46
Retargeting - Cart Abandoners,Cart Abandoners 3d,Urgency Offer - Last Chance,CONVERSIONS,580.40,8400,4200,2.00,69.10,340,320,1.81,0.0405,280,2.07,,,,,,,126,38,2660,4.58,4
Retargeting - Cart Abandoners,Cart Abandoners 7d,Social Proof + CTA,CONVERSIONS,420.80,7200,3800,1.89,58.44,280,268,1.57,0.0389,234,1.80,,,,,,,96,26,1820,4.32,3
Retargeting - View Content,View Content 14d - No ATC,Product Benefits Video,CONVERSIONS,298.60,6400,4200,1.52,46.66,240,228,1.31,0.0375,198,1.51,,,,,,,62,14,980,3.28,2
Retargeting - Checkout Abandoners,Checkout Started 7d,Checkout Reminder,CONVERSIONS,186.40,3200,2100,1.52,58.25,148,142,1.31,0.0463,124,1.50,,,,,,,52,22,1540,8.26,2
Retention - Existing Customers,Past 180d Purchasers,New Arrival Announcement,OUTCOME_SALES,342.80,12400,9800,1.27,27.65,620,580,0.59,0.0500,480,0.71,,,,,,,78,32,2880,8.40,0
Retention - Existing Customers,LTV Customers - Top 20%,VIP Exclusive Offer,OUTCOME_SALES,248.60,8600,7200,1.19,28.91,420,398,0.62,0.0488,340,0.73,,,,,,,64,28,2940,11.83,0
Retention - Win Back,Lapsed 90-180d Customers,Win-Back Email Retargeting,OUTCOME_SALES,186.20,7200,6400,1.13,25.86,360,340,0.55,0.0500,290,0.64,,,,,,,44,16,1280,6.88,0
TOF - Prospecting - Video,Broad - All Demographics,Short Form Video 15s - Hook 1,VIDEO_VIEWS,92.40,28600,24800,1.15,3.23,380,310,0.24,0.0133,240,0.39,27200,10608,5440,3264,1360,1430,,,,,
TOF - Prospecting - Video,Broad - All Demographics,Short Form Video 15s - Hook 2,VIDEO_VIEWS,45.20,14200,12600,1.13,3.18,180,148,0.25,0.0127,114,0.40,13500,4185,2430,1890,810,712,,,,,
BOF - Conversion - High CPA,Website Visitors 60d,Old Creative - Static Image,OUTCOME_SALES,380.20,5800,4200,1.38,65.55,260,248,1.53,0.0448,218,1.74,,,,,,,48,6,348,0.92,2
MOF - Consideration - Leads,Website Visitors - No Purchase,Lead Magnet - Free Guide,OUTCOME_LEADS,124.60,11200,9400,1.19,11.13,1240,1180,0.10,0.1107,1020,0.12,,,,,,620,82,4,,,
